FILE: /scratch/elieh5/GNR_ES/GNR_armchair_104_ES_spin.out
LATTICE_VECTORS:
55.25330077435423 0.00000000000000 0.00000000000000
0.00000000000000 30.00000000000000 0.00000000000000
0.00000000000000 0.00000000000000 17.04000000000000
ATOMIC_COORDS:
x y z species
LATTICE_VECTORS:
33.1176921   0.0000000   0.0000000
0.0000000  30.0000006   0.0000000
0.0000000   0.0000000  17.0400003
ATOMIC_COORDS:
x y z species
15.94396799 15.00000029 0.00000000 C
17.17372409 15.00000029 0.71000001 C
17.17372409 15.00000029 2.13000004 C
15.94396799 15.00000029 2.84000005 C
15.94396799 15.00000029 4.26000008 C
17.17372409 15.00000029 4.97000009 C
17.17372409 15.00000029 6.39000012 C
15.94396799 15.00000029 7.10000013 C
15.94396799 15.00000029 8.52000016 C
17.17372409 15.00000029 9.23000018 C
17.17372409 15.00000029 10.65000020 C
15.94396799 15.00000029 11.36000022 C
15.94396799 15.00000029 12.78000024 C
17.17372409 15.00000029 13.49000026 C
17.17372409 15.00000029 14.91000028 C
15.94396799 15.00000029 15.62000030 C
15.00000029 15.00000029 0.54500001 S
15.00000029 15.00000029 2.29500004 S
15.00000029 15.00000029 4.80500009 S
15.00000029 15.00000029 6.55500012 S
15.00000029 15.00000029 9.06500017 S
15.00000029 15.00000029 10.81500021 S
15.00000029 15.00000029 13.32500025 S
15.00000029 15.00000029 15.07500029 S
18.11769180 15.00000029 0.16500000 S
18.11769180 15.00000029 2.67500005 S
18.11769180 15.00000029 4.42500008 S
18.11769180 15.00000029 6.93500013 S
18.11769180 15.00000029 8.68500016 S
18.11769180 15.00000029 11.19500021 S
18.11769180 15.00000029 12.94500025 S
18.11769180 15.00000029 15.45500029 S

FILE: /scratch/elieh5/GNR_ES/GNR_armchair_24_ES.out
LATTICE_VECTORS:
35.5772043   0.0000000   0.0000000
0.0000000  30.0000006   0.0000000
0.0000000   0.0000000  17.0400003
ATOMIC_COORDS:
x y z species
18.40348019 15.00000029 0.00000000 C
19.63323628 15.00000029 0.71000001 C
19.63323628 15.00000029 2.13000004 C
18.40348019 15.00000029 2.84000005 C
18.40348019 15.00000029 4.26000008 C
19.63323628 15.00000029 4.97000009 C
19.63323628 15.00000029 6.39000012 C
18.40348019 15.00000029 7.10000013 C
18.40348019 15.00000029 8.52000016 C
